200
10
5	7

7	11	50	2
18	14	47	2
24	15	70	2
5	5	46	2
4	11	30	1
2	18	48	2
11	8	16	1
12	3	46	2
21	19	80	3
14	9	68	3
25	17	22	1
25	16	11	1
11	19	46	2
12	4	29	1
21	16	58	2
12	2	23	1
23	17	22	1
20	18	23	1
18	20	25	1
20	7	18	1
8	6	31	2
5	8	50	2
9	18	16	1
20	2	100	3
12	3	13	1
22	17	20	1
12	8	38	1
3	16	32	1
12	6	59	2
24	1	50	2
16	18	40	2
4	12	45	1
13	15	57	2
16	13	28	1
9	2	21	1
2	7	44	2
17	11	18	1
16	16	61	2
6	11	31	1
7	14	39	2
1	5	44	1
17	12	49	2
8	11	30	1
12	4	37	1
19	3	11	1
7	6	78	2
13	18	22	1
7	17	52	2
8	17	35	1
8	14	25	1
7	5	23	1
21	2	48	2
21	14	79	2
7	10	12	1
25	18	12	1
14	5	49	2
21	13	27	1
22	5	29	1
6	8	41	1
19	2	37	2
11	5	31	2
14	16	30	1
7	18	11	1
25	16	20	1
15	9	37	1
14	38	42	2
12	41	57	2
20	47	88	3
14	43	84	3
13	46	54	2
6	38	36	1
4	35	48	1
6	35	42	2
20	30	47	2
14	34	45	2
18	45	73	3
22	45	25	1
9	31	41	1
6	48	48	1
8	42	20	1
23	34	25	1
8	50	41	1
15	37	79	3
13	30	22	1
20	31	50	2
2	43	72	2
3	48	27	1
14	47	19	1
21	45	19	1
5	31	75	2
7	34	19	1
20	46	63	3
15	40	63	2
17	42	41	1
11	32	15	1
2	30	97	3
23	40	23	1
1	39	28	1
1	47	11	1
14	37	77	3
14	48	53	2
3	47	92	3
14	48	73	2
3	50	15	1
9	50	28	1
4	35	47	1
3	43	75	3
14	31	57	2
5	45	32	2
20	42	36	1
16	44	87	3
4	44	27	1
11	31	66	2
14	40	42	2
19	35	66	2
7	46	61	3
3	44	20	1
5	30	17	1
1	50	45	1
2	33	42	1
19	43	13	1
6	34	47	1
8	47	40	2
7	44	93	3
12	36	40	1
12	49	65	2
5	45	24	1
7	46	70	3
10	36	13	1
3	43	20	1
35	39	90	3
26	31	42	1
47	28	36	2
32	24	34	1
45	40	11	1
42	16	62	3
50	36	34	2
34	22	25	1
48	13	19	1
32	16	78	3
37	29	49	1
49	24	25	1
27	26	18	1
50	30	30	1
49	11	16	1
34	18	29	1
32	18	42	1
26	28	68	2
33	16	78	2
43	21	19	1
42	26	14	1
47	40	13	1
34	15	64	3
48	38	29	1
38	32	66	2
44	15	28	1
31	25	39	1
44	29	60	2
49	17	60	2
48	39	20	1
34	29	23	1
33	23	27	1
34	27	41	1
36	21	85	3
29	30	99	3
33	27	40	2
28	23	48	1
45	38	69	3
29	32	14	1
40	36	25	1
35	16	50	2
44	30	33	1
27	22	32	2
47	33	60	2
30	15	21	1
36	29	35	2
28	13	97	3
37	40	40	2
31	17	13	1
32	13	81	3
32	31	33	1
32	35	18	1
33	23	34	1
30	27	49	2
49	20	32	2
40	38	45	1
38	36	30	1
33	38	33	1
35	18	33	1
43	39	14	1
44	29	44	1
48	36	57	2
44	35	49	1
42	29	22	1
30	32	16	1
36	17	90	3
41	24	18	1
28	28	44	2
27	21	24	1
50	32	22	1

14	28	1488	14880
29	35	1477	14770
1	28	1486	14860
12	30	1593	15930
43	34	1744	17440
14	26	1608	16080
30	43	1702	17020
7	32	1495	14950
4	28	1658	16580
6	34	1601	16010

80		5000	200

0

3 9

1 5

1
2
3
4
5

2 3

1	4
1	5
2	5

3 1

1	3	5
