50
5
5	7

11	2	50	2
10	15	56	2
10	10	66	3
14	7	53	2
6	2	64	2
3	7	35	1
5	6	19	1
9	14	64	2
9	14	17	1
3	15	40	2
7	6	39	1
9	4	38	2
6	15	35	2
3	2	97	3
7	5	16	1
10	7	15	1
10	12	69	3
4	7	42	2
7	7	69	2
2	14	86	3
1	15	28	1
15	11	27	1
4	9	11	1
11	12	44	2
10	13	58	2
46	38	29	1
38	50	21	1
45	49	46	1
37	42	74	2
41	37	72	3
49	47	93	3
50	41	33	2
42	36	48	1
48	37	40	2
48	40	15	1
42	39	24	1
45	39	47	1
41	36	21	1
40	38	43	1
41	44	48	2
45	50	20	1
48	44	40	2
48	39	20	1
36	48	14	1
50	37	35	1
46	37	15	1
48	39	68	3
40	44	31	1
39	49	46	1
41	36	78	2

15	46	805	8050
7	30	841	8410
21	9	811	8110
8	15	755	7550
25	5	763	7630

80		5000	50

0

3 9

1 5

1
2
3
4
5

2 3

1	4
1	5
2	5

3 1

1	3	5
