100
10
5	7

21	13	32	1
12	24	16	1
12	25	13	1
25	25	79	2
24	7	80	2
25	12	32	1
3	21	39	1
12	1	23	1
9	6	43	2
16	8	37	2
24	9	35	2
14	8	65	3
5	21	31	2
19	17	20	1
25	8	56	2
11	15	45	1
20	5	14	1
19	13	39	2
25	10	49	1
3	23	39	1
2	8	34	2
1	3	32	1
19	6	29	1
3	14	12	1
24	21	32	1
1	24	11	1
15	6	24	1
20	27	61	2
26	2	22	1
9	16	41	2
23	16	66	3
6	20	23	1
20	2	25	1
4	19	38	1
22	8	27	1
3	12	17	1
25	8	28	1
12	26	16	1
4	17	29	1
21	16	67	3
22	11	49	2
21	24	17	1
7	5	45	1
3	8	40	2
22	4	25	1
24	14	48	2
4	24	42	2
25	14	93	3
1	28	19	1
12	9	12	1
43	48	17	1
34	24	21	1
27	25	49	1
48	26	17	1
25	32	11	1
34	48	48	1
27	33	46	2
45	24	43	2
45	26	99	3
28	44	35	2
38	42	89	3
42	26	37	1
25	41	20	1
28	33	44	1
36	33	49	2
38	28	29	1
39	45	27	1
42	31	24	1
43	28	11	1
29	43	26	1
29	26	50	1
29	42	11	1
38	34	32	2
46	28	69	2
30	24	91	3
50	30	68	3
44	26	16	1
45	49	38	2
49	43	78	2
50	27	42	2
43	33	45	2
29	49	24	1
40	37	25	1
36	31	16	1
46	45	76	2
49	46	47	2
45	41	50	2
28	36	46	2
43	50	14	1
45	48	30	1
48	27	30	1
33	24	36	2
48	33	65	2
39	38	59	2
45	49	38	1
27	26	46	2
33	44	48	2
33	29	39	2
32	46	23	1
40	35	38	2

2	45	1299	12990
27	37	1233	12330
38	16	1190	11900
41	10	1234	12340
41	40	1278	12780
16	11	1159	11590
17	12	1150	11500
45	45	1161	11610
21	32	1216	12160
21	47	1159	11590

130		5000	100

0

3 9

1 5

1
2
3
4
5

2 3

1	4
1	5
2	5

3 1

1	3	5
